mobile_name,price
NOKIA Nokia 6310 black 4G ,999
Samsung Galaxy A55 Dual SIM Awesome Ice Blue 8GB RAM 256GB 5G - Middle East Version ,"17,202"
realme 12x Feather Green Dual SIM 8GB RAM 256GB 5G - Middle East Version ,"8,165"
Samsung Galaxy A15 Dual SIM Blue/Black 6GB RAM 128GB 4G LTE - Middle East Version ,"7,448"
Xiaomi Redmi A3 Dual SIM Midnight Black 3GB RAM 64GB 4G - Middle East Version ,"4,144"
Samsung Galaxy Z Fold 6 Dual SIM Silver Shadow 12GB RAM 256GB 5G  - Middle East Version ,"65,382"
Samsung Galaxy A15 Dual Sim Blue Black 8GB RAM 256GB 4G - Middle East Version ,"8,740"
Samsung Galaxy A15 Dual SIM Light Blue 6GB RAM 128GB 4G LTE - Middle East Version ,"7,070"
realme Realme 12 Dual SIM Skyline Blue 8GB RAM 256GB 4G - International Version ,"10,499"
CAT B26 Dual Sim Fully Waterproof Rugged Phone Black ,"4,400"
Samsung Galaxy A15 Dual Sim Light Blue 4GB RAM 128GB 4G - Middle East Version ,"6,350"
Samsung Galaxy A05s Dual SIM Black 6GB RAM 128GB 4G LTE - Middle East Version ,"6,975"
Samsung Galaxy A25 Dual Sim Light Blue 8GB RAM 256GB 5G - Middle East Version ,"10,699"
ITEL A70 Dual SIM Starlish Black (3+5)GB RAM 128GB 4G - Middle East Version ,"3,737"
Infinix Hot 30i Dual SIM Mirror Black 8GB RAM 128GB 4G LTE ,"4,675"
Samsung Galaxy A15 Dual Sim Blue Black 4GB RAM 128GB 4G - Middle East Version ,"6,350"
"vivo Y03 Dual SIM, 64GB, 4GB RAM, 4G LTE - GEM GREEN ","4,399"
Samsung Galaxy A35 Dual SIM Awesome Ice Blue 8GB RAM 128GB 5G - Middle East Version ,"13,159"
ITEL A70 Dual SIM  Field Green (3+5)GB RAM 128GB 4G - Middle East Version ,"3,499"
NOKIA BM10 Mini Dual SIM Phone With 32 MB Internal Memory Is The Smallest Phone In The World ,490
Xiaomi Redmi A3 Dual SIM Star Blue 3GB RAM 64GB 4G - Middle East Version ,"4,070"
Honor X8b Dual SIM Glamorous Green 8GB RAM 512GB 4G LTE - Middle East Version ,"10,850"
ACE Mobile BUZZ 3 Black 32GB 2GB 3G ,"2,525"
